model,track,scenario,n,n_hazardous,n_safe,tp,fp,tn,fn,precision,recall,specificity,f1,accuracy,false_alarm_rate,avg_hazard_alignment,avg_phantom_mentions,pct_with_phantom_mention,unknown_rate
llama3.2-vision-11b,text_only,baseline_safe,356,0,356,0,350,6,0,0.0,,0.0169,,0.0169,0.9831,,0.0,0.0,0.0
llama3.2-vision-11b,text_only,noisy,3564,3564,0,3564,0,0,0,1.0,1.0,,1.0,1.0,,0.5604,0.0017,0.0017,0.0
llama3.2-vision-11b,text_only,noisy_safe,1424,0,1424,0,1403,21,0,0.0,,0.0147,,0.0147,0.9853,,0.0063,0.0063,0.0
llava1.6-13b,image_only,baseline,891,891,0,171,0,0,720,1.0,0.1919,,0.322,0.1919,,0.6036,0.0011,0.0011,0.0
llava1.6-13b,image_only,baseline_safe,356,0,356,0,9,347,0,0.0,,0.9747,,0.9747,0.0253,,0.0,0.0,0.0
llava1.6-13b,image_only,noisy,3564,3564,0,684,0,0,2880,1.0,0.1919,,0.322,0.1919,,0.6036,0.0011,0.0011,0.0
llava1.6-13b,image_only,noisy_safe,1424,0,1424,0,36,1388,0,0.0,,0.9747,,0.9747,0.0253,,0.0,0.0,0.0
llava1.6-13b,text_and_image,baseline,891,891,0,849,0,0,42,1.0,0.9529,,0.9759,0.9529,,0.593,0.0022,0.0011,0.0
llava1.6-13b,text_and_image,baseline_safe,356,0,356,0,299,57,0,0.0,,0.1601,,0.1601,0.8399,,0.0,0.0,0.0
llava1.6-13b,text_and_image,noisy,3564,3564,0,3443,0,0,121,1.0,0.966,,0.9827,0.966,,0.5862,0.0048,0.0042,0.0
llava1.6-13b,text_and_image,noisy_safe,1424,0,1424,0,1260,164,0,0.0,,0.1152,,0.1152,0.8848,,0.0,0.0,0.0
llava1.6-13b,text_only,baseline,891,891,0,877,0,0,14,1.0,0.9843,,0.9921,0.9843,,0.4738,0.0,0.0,0.0
llava1.6-13b,text_only,baseline_safe,356,0,356,0,339,17,0,0.0,,0.0478,,0.0478,0.9522,,0.0,0.0,0.0
llava1.6-13b,text_only,noisy,3564,3564,0,3522,0,0,42,1.0,0.9882,,0.9941,0.9882,,0.4468,0.0036,0.0036,0.0
llava1.6-13b,text_only,noisy_safe,1424,0,1424,0,1382,42,0,0.0,,0.0295,,0.0295,0.9705,,0.0,0.0,0.0
llava1.6-7b,image_only,baseline,891,891,0,187,0,0,704,1.0,0.2099,,0.347,0.2099,,0.5716,0.0,0.0,0.0
llava1.6-7b,image_only,baseline_safe,356,0,356,0,5,351,0,0.0,,0.986,,0.986,0.014,,0.0,0.0,0.0
llava1.6-7b,image_only,noisy,3564,3564,0,748,0,0,2816,1.0,0.2099,,0.347,0.2099,,0.5716,0.0,0.0,0.0
llava1.6-7b,image_only,noisy_safe,1424,0,1424,0,20,1404,0,0.0,,0.986,,0.986,0.014,,0.0,0.0,0.0
llava1.6-7b,text_and_image,baseline,891,891,0,663,0,0,228,1.0,0.7441,,0.8533,0.7441,,0.4233,0.0,0.0,0.0
llava1.6-7b,text_and_image,baseline_safe,356,0,356,0,113,243,0,0.0,,0.6826,,0.6826,0.3174,,0.0,0.0,0.0
llava1.6-7b,text_and_image,noisy,3564,3564,0,2802,0,0,762,1.0,0.7862,,0.8803,0.7862,,0.4256,0.0,0.0,0.0
llava1.6-7b,text_and_image,noisy_safe,1424,0,1424,0,554,870,0,0.0,,0.611,,0.611,0.389,,0.0,0.0,0.0
llava1.6-7b,text_only,baseline,891,891,0,661,0,0,230,1.0,0.7419,,0.8518,0.7419,,0.2984,0.0,0.0,0.0
llava1.6-7b,text_only,baseline_safe,356,0,356,0,51,305,0,0.0,,0.8567,,0.8567,0.1433,,0.0,0.0,0.0
llava1.6-7b,text_only,noisy,3564,3564,0,2790,0,0,774,1.0,0.7828,,0.8782,0.7828,,0.2989,0.0036,0.0036,0.0
llava1.6-7b,text_only,noisy_safe,1424,0,1424,0,403,1021,0,0.0,,0.717,,0.717,0.283,,0.0,0.0,0.0
mistral-7b,text_only,baseline,891,891,0,494,0,0,397,1.0,0.5544,,0.7133,0.5544,,0.4676,0.0,0.0,0.0
mistral-7b,text_only,baseline_safe,356,0,356,0,16,340,0,0.0,,0.9551,,0.9551,0.0449,,0.0,0.0,0.0
mistral-7b,text_only,noisy,3564,3564,0,2052,0,0,1512,1.0,0.5758,,0.7308,0.5758,,0.4605,0.0135,0.0123,0.0006
mistral-7b,text_only,noisy_safe,1424,0,1424,0,149,1275,0,0.0,,0.8954,,0.8954,0.1046,,0.059,0.059,0.0
mistral-nemo-12b,text_only,baseline,891,891,0,801,0,0,90,1.0,0.899,,0.9468,0.899,,0.5904,0.0,0.0,0.0
mistral-nemo-12b,text_only,baseline_safe,356,0,356,0,176,180,0,0.0,,0.5056,,0.5056,0.4944,,0.0,0.0,0.0
mistral-nemo-12b,text_only,noisy,3564,3564,0,3330,0,0,234,1.0,0.9343,,0.966,0.9343,,0.5935,0.0048,0.0048,0.0
mistral-nemo-12b,text_only,noisy_safe,1424,0,1424,0,964,460,0,0.0,,0.323,,0.323,0.677,,0.0014,0.0014,0.0
qwen2.5-14b,text_only,baseline,891,891,0,571,0,0,320,1.0,0.6409,,0.7812,0.6409,,0.5688,0.0,0.0,0.0
qwen2.5-14b,text_only,baseline_safe,356,0,356,0,37,319,0,0.0,,0.8961,,0.8961,0.1039,,0.0,0.0,0.0
qwen2.5-14b,text_only,noisy,3564,3564,0,2600,0,0,964,1.0,0.7295,,0.8436,0.7295,,0.5383,0.0039,0.0039,0.0
qwen2.5-14b,text_only,noisy_safe,1424,0,1424,0,482,942,0,0.0,,0.6615,,0.6615,0.3385,,0.0063,0.0063,0.0
qwen2.5-7b,text_only,baseline,891,891,0,674,0,0,217,1.0,0.7565,,0.8614,0.7565,,0.4993,0.0,0.0,0.0
qwen2.5-7b,text_only,baseline_safe,356,0,356,0,62,294,0,0.0,,0.8258,,0.8258,0.1742,,0.0,0.0,0.0
qwen2.5-7b,text_only,noisy,3564,3564,0,2914,0,0,650,1.0,0.8176,,0.8996,0.8176,,0.5048,0.0008,0.0008,0.0
qwen2.5-7b,text_only,noisy_safe,1424,0,1424,0,557,867,0,0.0,,0.6088,,0.6088,0.3912,,0.0014,0.0014,0.0
qwen2.5-vl-7b,image_only,baseline,891,891,0,243,0,0,648,1.0,0.2727,,0.4285,0.2727,,0.5075,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,baseline_safe,356,0,356,0,4,352,0,0.0,,0.9888,,0.9888,0.0112,,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,noisy,3564,3564,0,972,0,0,2592,1.0,0.2727,,0.4285,0.2727,,0.5075,0.0,0.0,0.0
qwen2.5-vl-7b,image_only,noisy_safe,1424,0,1424,0,16,1408,0,0.0,,0.9888,,0.9888,0.0112,,0.0,0.0,0.0
qwen2.5-vl-7b,text_and_image,baseline,891,891,0,608,0,0,283,1.0,0.6824,,0.8112,0.6824,,0.6063,0.0,0.0,0.0
qwen2.5-vl-7b,text_and_image,baseline_safe,356,0,356,0,28,328,0,0.0,,0.9213,,0.9213,0.0787,,0.0,0.0,0.0
qwen2.5-vl-7b,text_and_image,noisy,3564,3564,0,2764,0,0,800,1.0,0.7755,,0.8736,0.7755,,0.591,0.0098,0.0095,0.0
qwen2.5-vl-7b,text_and_image,noisy_safe,1424,0,1424,0,431,993,0,0.0,,0.6973,,0.6973,0.3027,,0.0239,0.0239,0.0
qwen2.5-vl-7b,text_only,baseline,891,891,0,794,0,0,97,1.0,0.8911,,0.9424,0.8911,,0.5778,0.0,0.0,0.0
qwen2.5-vl-7b,text_only,baseline_safe,356,0,356,0,136,220,0,0.0,,0.618,,0.618,0.382,,0.0,0.0,0.0
qwen2.5-vl-7b,text_only,noisy,3564,3564,0,3300,0,0,264,1.0,0.9259,,0.9615,0.9259,,0.5573,0.0081,0.0079,0.0
qwen2.5-vl-7b,text_only,noisy_safe,1424,0,1424,0,861,563,0,0.0,,0.3954,,0.3954,0.6046,,0.0126,0.0126,0.0
qwen2vl-7b,image_only,baseline,891,891,0,832,0,0,59,1.0,0.9338,,0.9658,0.9338,,0.5217,0.0135,0.0135,0.0
qwen2vl-7b,image_only,baseline_safe,356,0,356,0,284,72,0,0.0,,0.2022,,0.2022,0.7978,,0.0056,0.0056,0.0
qwen2vl-7b,image_only,noisy,3568,3568,0,3332,0,0,236,1.0,0.9339,,0.9658,0.9339,,0.5222,0.0135,0.0135,0.0
qwen2vl-7b,image_only,noisy_safe,1424,0,1424,0,1136,288,0,0.0,,0.2022,,0.2022,0.7978,,0.0056,0.0056,0.0
qwen2vl-7b,text_and_image,baseline,891,891,0,879,0,0,12,1.0,0.9865,,0.9932,0.9865,,0.6113,0.0,0.0,0.0
qwen2vl-7b,text_and_image,baseline_safe,356,0,356,0,314,42,0,0.0,,0.118,,0.118,0.882,,0.0,0.0,0.0
qwen2vl-7b,text_and_image,noisy,3568,3568,0,3525,0,0,43,1.0,0.9879,,0.9939,0.9879,,0.5885,0.0132,0.0132,0.0
qwen2vl-7b,text_and_image,noisy_safe,1424,0,1424,0,1295,129,0,0.0,,0.0906,,0.0906,0.9094,,0.0232,0.0232,0.0
qwen2vl-7b,text_only,baseline,891,891,0,845,0,0,46,1.0,0.9484,,0.9735,0.9484,,0.593,0.0,0.0,0.0
qwen2vl-7b,text_only,baseline_safe,356,0,356,0,231,125,0,0.0,,0.3511,,0.3511,0.6489,,0.0,0.0,0.0
qwen2vl-7b,text_only,noisy,3568,3568,0,3428,0,0,140,1.0,0.9608,,0.98,0.9608,,0.5564,0.0146,0.0146,0.0
qwen2vl-7b,text_only,noisy_safe,1424,0,1424,0,1086,338,0,0.0,,0.2374,,0.2374,0.7626,,0.0232,0.0232,0.0
qwen3-14b,text_only,baseline,891,891,0,440,0,0,451,1.0,0.4938,,0.6611,0.4938,,0.5675,0.0,0.0,0.0
qwen3-14b,text_only,baseline_safe,356,0,356,0,10,346,0,0.0,,0.9719,,0.9719,0.0281,,0.0,0.0,0.0
qwen3-14b,text_only,noisy,3564,3564,0,2174,0,0,1390,1.0,0.61,,0.7578,0.61,,0.5597,0.0073,0.0073,0.0
qwen3-14b,text_only,noisy_safe,1424,0,1424,0,339,1085,0,0.0,,0.7619,,0.7619,0.2381,,0.0176,0.0176,0.0
