basename,split,scene_name,room_type,recipe_name,severity,danger_labels,sim_label,n_abnormal_flags,sensor_observable,qwen2.5-72b-bnb4_pred,qwen2.5-72b-bnb4_keyword_hit,llama3.1-70b-bnb4_pred,llama3.1-70b-bnb4_keyword_hit,gpt-5.5_pred,gpt-5.5_keyword_hit,dual_consensus,unanimous_consensus,majority_consensus,any_jury_keyword_hit
bedroom_FloorPlan314_laptop_on_bed_overheat,hazard,FloorPlan314,bedroom,laptop_on_bed_overheat,high,fire_hazard;overheat_risk,hazardous,1,1,hazardous,0,hazardous,0,hazardous,0,hazardous,hazardous,hazardous,0
kitchen_FloorPlan23_faucet_on_broken_cup,hazard,FloorPlan23,kitchen,faucet_on_broken_cup,high,water_hazard;sharp_object;compound_danger,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan214_vase_broken_on_floor,hazard,FloorPlan214,living_room,vase_broken_on_floor,high,sharp_object;laceration_risk,hazardous,1,1,safe,1,safe,0,safe,0,safe,safe,safe,1
kitchen_FloorPlan27_fridge_left_open,hazard,FloorPlan27,kitchen,fridge_left_open,low,food_safety;obstruction,hazardous,1,1,safe,0,safe,0,hazardous,1,safe,split,safe,1
living_room_FloorPlan207_tv_on_unattended,hazard,FloorPlan207,living_room,tv_on_unattended,low,appliance_misuse,hazardous,1,1,safe,0,safe,1,safe,1,safe,safe,safe,1
bathroom_FloorPlan422_toilet_open_faucet_on,hazard,FloorPlan422,bathroom,toilet_open_faucet_on,medium,water_hazard;hygiene_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bedroom_FloorPlan303_cellphone_on_bed,hazard,FloorPlan303,bedroom,cellphone_on_bed,medium,fire_hazard;overheat_risk,hazardous,1,1,hazardous,0,safe,0,hazardous,0,split,split,hazardous,0
kitchen_FloorPlan11_toaster_on_unattended,hazard,FloorPlan11,kitchen,toaster_on_unattended,medium,fire_hazard,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan201_floor_lamp_on_unattended,hazard,FloorPlan201,living_room,floor_lamp_on_unattended,medium,fire_hazard;electrical_risk,hazardous,1,1,safe,0,safe,0,hazardous,0,safe,split,safe,0
bathroom_FloorPlan409_broken_shower_glass,hazard,FloorPlan409,bathroom,broken_shower_glass,critical,sharp_object;laceration_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan26_stove_on_with_knife_nearby,hazard,FloorPlan26,kitchen,stove_on_with_knife_nearby,critical,fire_hazard;sharp_object;compound_danger,hazardous,2,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bathroom_FloorPlan412_broken_mirror_bathroom,hazard,FloorPlan412,bathroom,broken_mirror_bathroom,high,sharp_object;laceration_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bedroom_FloorPlan327_laptop_on_bed_overheat,hazard,FloorPlan327,bedroom,laptop_on_bed_overheat,high,fire_hazard;overheat_risk,hazardous,1,1,hazardous,0,hazardous,0,hazardous,0,hazardous,hazardous,hazardous,0
kitchen_FloorPlan29_stove_left_on,hazard,FloorPlan29,kitchen,stove_left_on,high,fire_hazard;burn_risk,hazardous,2,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan223_vase_broken_on_floor,hazard,FloorPlan223,living_room,vase_broken_on_floor,high,sharp_object;laceration_risk,hazardous,0,0,safe,1,safe,0,safe,1,safe,safe,safe,1
kitchen_FloorPlan23_food_left_out_sliced,hazard,FloorPlan23,kitchen,food_left_out_sliced,low,food_safety,hazardous,0,0,safe,,safe,,hazardous,,safe,split,safe,
living_room_FloorPlan204_tv_on_unattended,hazard,FloorPlan204,living_room,tv_on_unattended,low,appliance_misuse,hazardous,1,1,safe,0,safe,0,hazardous,1,safe,split,safe,1
bathroom_FloorPlan404_shower_running_unattended,hazard,FloorPlan404,bathroom,shower_running_unattended,medium,water_hazard;slip_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bedroom_FloorPlan322_cellphone_on_bed,hazard,FloorPlan322,bedroom,cellphone_on_bed,medium,fire_hazard;overheat_risk,hazardous,1,1,hazardous,0,safe,0,hazardous,0,split,split,hazardous,0
kitchen_FloorPlan14_toaster_on_unattended,hazard,FloorPlan14,kitchen,toaster_on_unattended,medium,fire_hazard,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan213_laptop_overheating,hazard,FloorPlan213,living_room,laptop_overheating,medium,fire_hazard;overheat_risk,hazardous,1,1,hazardous,0,hazardous,0,safe,0,hazardous,split,hazardous,0
bathroom_FloorPlan412_broken_shower_glass,hazard,FloorPlan412,bathroom,broken_shower_glass,critical,sharp_object;laceration_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan7_multiple_burners_on,hazard,FloorPlan7,kitchen,multiple_burners_on,critical,fire_hazard;burn_risk;gas_risk,hazardous,7,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bathroom_FloorPlan406_faucet_running_bathroom,hazard,FloorPlan406,bathroom,faucet_running_bathroom,high,water_hazard;slip_risk;overflow_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bedroom_FloorPlan304_broken_mirror_bedroom,hazard,FloorPlan304,bedroom,broken_mirror_bedroom,high,sharp_object;laceration_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan3_pot_on_stove_water,hazard,FloorPlan3,kitchen,pot_on_stove_water,high,burn_risk;overflow_risk;fire_hazard,hazardous,3,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan216_broken_window,hazard,FloorPlan216,living_room,broken_window,high,sharp_object;laceration_risk;security_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan14_food_left_out_sliced,hazard,FloorPlan14,kitchen,food_left_out_sliced,low,food_safety,hazardous,0,0,safe,,safe,,safe,,safe,safe,safe,
living_room_FloorPlan228_tv_on_unattended,hazard,FloorPlan228,living_room,tv_on_unattended,low,appliance_misuse,hazardous,1,1,safe,0,safe,1,safe,1,safe,safe,safe,1
bathroom_FloorPlan401_toilet_open_faucet_on,hazard,FloorPlan401,bathroom,toilet_open_faucet_on,medium,water_hazard;hygiene_risk,hazardous,0,0,safe,1,safe,0,safe,1,safe,safe,safe,1
bedroom_FloorPlan304_cellphone_on_bed,hazard,FloorPlan304,bedroom,cellphone_on_bed,medium,fire_hazard;overheat_risk,hazardous,1,1,hazardous,0,safe,0,safe,0,split,split,safe,0
kitchen_FloorPlan21_toaster_on_unattended,hazard,FloorPlan21,kitchen,toaster_on_unattended,medium,fire_hazard,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan225_broken_statue,hazard,FloorPlan225,living_room,broken_statue,medium,sharp_object;laceration_risk,hazardous,1,1,safe,0,safe,0,safe,1,safe,safe,safe,1
bathroom_FloorPlan402_broken_shower_glass,hazard,FloorPlan402,bathroom,broken_shower_glass,critical,sharp_object;laceration_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan23_multiple_burners_on,hazard,FloorPlan23,kitchen,multiple_burners_on,critical,fire_hazard;burn_risk;gas_risk,hazardous,8,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bathroom_FloorPlan424_faucet_running_bathroom,hazard,FloorPlan424,bathroom,faucet_running_bathroom,high,water_hazard;slip_risk;overflow_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bedroom_FloorPlan303_broken_mirror_bedroom,hazard,FloorPlan303,bedroom,broken_mirror_bedroom,high,sharp_object;laceration_risk,hazardous,2,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan23_pot_on_stove_water,hazard,FloorPlan23,kitchen,pot_on_stove_water,high,burn_risk;overflow_risk;fire_hazard,hazardous,3,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan222_broken_window,hazard,FloorPlan222,living_room,broken_window,high,sharp_object;laceration_risk;security_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan29_food_left_out_sliced,hazard,FloorPlan29,kitchen,food_left_out_sliced,low,food_safety,hazardous,0,0,safe,,safe,,hazardous,,safe,split,safe,
living_room_FloorPlan216_tv_on_unattended,hazard,FloorPlan216,living_room,tv_on_unattended,low,appliance_misuse,hazardous,1,1,safe,0,safe,1,hazardous,1,safe,split,safe,1
bathroom_FloorPlan417_shower_running_unattended,hazard,FloorPlan417,bathroom,shower_running_unattended,medium,water_hazard;slip_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bedroom_FloorPlan323_desk_lamp_on_unattended,hazard,FloorPlan323,bedroom,desk_lamp_on_unattended,medium,fire_hazard;burn_risk,hazardous,0,0,safe,0,safe,0,safe,0,safe,safe,safe,0
kitchen_FloorPlan24_faucet_running,hazard,FloorPlan24,kitchen,faucet_running,medium,water_hazard;overflow_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan216_broken_statue,hazard,FloorPlan216,living_room,broken_statue,medium,sharp_object;laceration_risk,hazardous,0,0,safe,1,safe,0,safe,1,safe,safe,safe,1
bathroom_FloorPlan424_broken_shower_glass,hazard,FloorPlan424,bathroom,broken_shower_glass,critical,sharp_object;laceration_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan19_stove_on_with_knife_nearby,hazard,FloorPlan19,kitchen,stove_on_with_knife_nearby,critical,fire_hazard;sharp_object;compound_danger,hazardous,2,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bathroom_FloorPlan420_faucet_running_bathroom,hazard,FloorPlan420,bathroom,faucet_running_bathroom,high,water_hazard;slip_risk;overflow_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bedroom_FloorPlan316_broken_window_bedroom,hazard,FloorPlan316,bedroom,broken_window_bedroom,high,sharp_object;laceration_risk;security_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan20_pot_on_stove_water,hazard,FloorPlan20,kitchen,pot_on_stove_water,high,burn_risk;overflow_risk;fire_hazard,hazardous,3,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan226_broken_window,hazard,FloorPlan226,living_room,broken_window,high,sharp_object;laceration_risk;security_risk,hazardous,2,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan10_microwave_door_open,hazard,FloorPlan10,kitchen,microwave_door_open,low,obstruction;appliance_misuse,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan225_tv_on_unattended,hazard,FloorPlan225,living_room,tv_on_unattended,low,appliance_misuse,hazardous,2,1,safe,0,safe,0,hazardous,1,safe,split,safe,1
bathroom_FloorPlan417_toilet_open_faucet_on,hazard,FloorPlan417,bathroom,toilet_open_faucet_on,medium,water_hazard;hygiene_risk,hazardous,0,0,safe,1,safe,1,safe,1,safe,safe,safe,1
bedroom_FloorPlan306_desk_lamp_on_unattended,hazard,FloorPlan306,bedroom,desk_lamp_on_unattended,medium,fire_hazard;burn_risk,hazardous,2,1,safe,0,safe,0,safe,0,safe,safe,safe,0
kitchen_FloorPlan29_hot_pan_on_edge,hazard,FloorPlan29,kitchen,hot_pan_on_edge,medium,falling_risk;burn_risk,hazardous,0,0,safe,1,safe,1,safe,1,safe,safe,safe,1
living_room_FloorPlan229_broken_statue,hazard,FloorPlan229,living_room,broken_statue,medium,sharp_object;laceration_risk,hazardous,0,0,safe,0,safe,0,safe,0,safe,safe,safe,0
bathroom_FloorPlan421_broken_shower_glass,hazard,FloorPlan421,bathroom,broken_shower_glass,critical,sharp_object;laceration_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan19_multiple_burners_on,hazard,FloorPlan19,kitchen,multiple_burners_on,critical,fire_hazard;burn_risk;gas_risk,hazardous,8,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bathroom_FloorPlan403_candle_lit_bathroom,hazard,FloorPlan403,bathroom,candle_lit_bathroom,high,fire_hazard,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bedroom_FloorPlan330_laptop_on_bed_overheat,hazard,FloorPlan330,bedroom,laptop_on_bed_overheat,high,fire_hazard;overheat_risk,hazardous,1,1,hazardous,0,hazardous,0,hazardous,0,hazardous,hazardous,hazardous,0
kitchen_FloorPlan15_pot_on_stove_water,hazard,FloorPlan15,kitchen,pot_on_stove_water,high,burn_risk;overflow_risk;fire_hazard,hazardous,3,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan202_broken_window,hazard,FloorPlan202,living_room,broken_window,high,sharp_object;laceration_risk;security_risk,hazardous,0,0,safe,0,safe,0,safe,0,safe,safe,safe,0
